date,state,cfr,hospitals,hospitals_per_100k
2020-07-17,New York,7.84,215,1.1
2020-07-18,New York,7.83,215,1.1
2020-07-19,New York,7.82,215,1.1
2020-07-20,New York,7.82,215,1.1
2020-07-21,New York,7.8,215,1.1
2020-07-22,New York,7.79,215,1.1
2020-07-23,New York,7.79,215,1.1
2020-07-24,New York,7.77,215,1.1
2020-07-25,New York,7.76,215,1.1
2020-07-26,New York,7.76,215,1.1
2020-07-27,New York,7.75,215,1.1
2020-07-28,New York,7.74,215,1.1
2020-07-29,New York,7.73,215,1.1
2020-07-30,New York,7.72,215,1.1
2020-07-31,New York,7.71,215,1.1
2020-08-01,New York,7.7,215,1.1
2020-08-02,New York,7.7,215,1.1
2020-08-03,New York,7.69,215,1.1
2020-08-04,New York,7.68,215,1.1
2020-08-05,New York,7.67,215,1.1
2020-08-06,New York,7.63,215,1.1
2020-08-07,New York,7.62,215,1.1
2020-08-08,New York,7.61,215,1.1
2020-08-09,New York,7.6,215,1.1
2020-08-10,New York,7.6,215,1.1
2020-08-11,New York,7.59,215,1.1
2020-08-12,New York,7.58,215,1.1
2020-08-13,New York,7.57,215,1.1
2020-08-14,New York,7.56,215,1.1
2020-08-15,New York,7.54,215,1.1
2020-08-16,New York,7.54,215,1.1
2020-08-17,New York,7.53,215,1.1
2020-08-18,New York,7.52,215,1.1
2020-08-19,New York,7.51,215,1.1
2020-08-20,New York,7.5,215,1.1
2020-08-21,New York,7.49,215,1.1
2020-08-22,New York,7.48,215,1.1
2020-08-23,New York,7.48,215,1.1
2020-08-24,New York,7.47,215,1.1
2020-08-25,New York,7.46,215,1.1
2020-08-26,New York,7.45,215,1.1
2020-08-27,New York,7.44,215,1.1
2020-08-28,New York,7.43,215,1.1
2020-08-29,New York,7.42,215,1.1
2020-08-30,New York,7.41,215,1.1
2020-08-31,New York,7.4,215,1.1
2020-09-01,New York,7.39,215,1.1
2020-09-02,New York,7.38,215,1.1
2020-09-03,New York,7.37,215,1.1
2020-09-04,New York,7.36,215,1.1
2020-09-05,New York,7.35,215,1.1
2020-09-06,New York,7.34,215,1.1
2020-09-07,New York,7.33,215,1.1
2020-09-08,New York,7.32,215,1.1
2020-09-09,New York,7.31,215,1.1
2020-09-10,New York,7.3,215,1.1
2020-09-11,New York,7.29,215,1.1
2020-09-12,New York,7.28,215,1.1
2020-09-13,New York,7.27,215,1.1
2020-09-14,New York,7.26,215,1.1
2020-09-15,New York,7.25,215,1.1
2020-09-16,New York,7.24,215,1.1
2020-09-17,New York,7.23,215,1.1
2020-09-18,New York,7.22,215,1.1
2020-09-19,New York,7.2,215,1.1
2020-09-20,New York,7.19,215,1.1
2020-09-21,New York,7.18,215,1.1
2020-09-22,New York,7.17,215,1.1
2020-09-23,New York,7.16,215,1.1
2020-09-24,New York,7.15,215,1.1
2020-09-25,New York,7.13,215,1.1
2020-09-26,New York,7.12,215,1.1
2020-09-27,New York,7.11,215,1.1
2020-09-28,New York,7.1,215,1.1
2020-09-29,New York,7.08,215,1.1
2020-09-30,New York,7.07,215,1.1
2020-10-01,New York,7.05,215,1.1
2020-10-02,New York,7.03,215,1.1
2020-10-03,New York,7.01,215,1.1
2020-10-04,New York,6.99,215,1.1
2020-10-05,New York,6.98,215,1.1
2020-10-06,New York,6.96,215,1.1
2020-10-07,New York,6.95,215,1.1
2020-10-08,New York,6.92,215,1.1
2020-10-09,New York,6.9,215,1.1
2020-10-10,New York,6.88,215,1.1
2020-10-11,New York,6.86,215,1.1
2020-10-12,New York,6.85,215,1.1
2020-10-13,New York,6.83,215,1.1
2020-10-14,New York,6.82,215,1.1
2020-10-15,New York,6.8,215,1.1
2020-10-16,New York,6.78,215,1.1
2020-10-17,New York,6.76,215,1.1
2020-10-18,New York,6.74,215,1.1
2020-10-19,New York,6.73,215,1.1
2020-10-20,New York,6.72,215,1.1
2020-10-21,New York,6.69,215,1.1
2020-10-22,New York,6.67,215,1.1
2020-10-23,New York,6.65,215,1.1
2020-10-24,New York,6.63,215,1.1
2020-10-25,New York,6.61,215,1.1
2020-10-26,New York,6.6,215,1.1
2020-10-27,New York,6.57,215,1.1
2020-10-28,New York,6.55,215,1.1
2020-10-29,New York,6.52,215,1.1
2020-10-30,New York,6.5,215,1.1
2020-10-31,New York,6.47,215,1.1
2020-11-01,New York,6.45,215,1.1
2020-11-02,New York,6.43,215,1.1
2020-11-03,New York,6.4,215,1.1
2020-11-04,New York,6.38,215,1.1
2020-11-05,New York,6.35,215,1.1
2020-11-06,New York,6.32,215,1.1
2020-11-07,New York,6.28,215,1.1
2020-11-08,New York,6.24,215,1.1
2020-11-09,New York,6.21,215,1.1
2020-11-10,New York,6.17,215,1.1
2020-11-11,New York,6.12,215,1.1
2020-11-12,New York,6.07,215,1.1
2020-11-13,New York,6.02,215,1.1
2020-11-14,New York,5.96,215,1.1
2020-11-15,New York,5.93,215,1.1
2020-11-16,New York,5.9,215,1.1
2020-11-17,New York,5.85,215,1.1
2020-11-18,New York,5.81,215,1.1
2020-11-19,New York,5.76,215,1.1
2020-11-20,New York,5.72,215,1.1
2020-11-21,New York,5.66,215,1.1
2020-11-22,New York,5.62,215,1.1
2020-11-23,New York,5.57,215,1.1
2020-11-24,New York,5.53,215,1.1
2020-11-25,New York,5.48,215,1.1
2020-11-26,New York,5.43,215,1.1
2020-11-27,New York,5.37,215,1.1
2020-11-28,New York,5.33,215,1.1
2020-11-29,New York,5.28,215,1.1
2020-11-30,New York,5.23,215,1.1
2020-12-01,New York,5.18,215,1.1
2020-12-02,New York,5.12,215,1.1
2020-12-03,New York,5.06,215,1.1
2020-12-04,New York,4.99,215,1.1
2020-12-05,New York,4.92,215,1.1
2020-12-06,New York,4.86,215,1.1
2020-12-07,New York,4.82,215,1.1
2020-12-08,New York,4.77,215,1.1
2020-12-09,New York,4.71,215,1.1
2020-12-10,New York,4.66,215,1.1
2020-12-11,New York,4.6,215,1.1
2020-12-12,New York,4.55,215,1.1
2020-12-13,New York,4.51,215,1.1
2020-12-14,New York,4.47,215,1.1
2020-12-15,New York,4.43,215,1.1
2020-12-16,New York,4.39,215,1.1
2020-12-17,New York,4.35,215,1.1
2020-12-18,New York,4.3,215,1.1
2020-12-19,New York,4.26,215,1.1
